


Company,Contacts,URL,"Company Description",Round,Date,Amount,"Round Investors","All Investors","Total Funding",Sector,Industry,Sub-Industry,Country,State,City
"Montage Talent",25,http://www.montagetalent.com,"Montage provides a cloud-based voice and video interviewing platform for Global 5000 enterprises to increase efficiency and engagement in the hiring process while reducing travel, and minimizing costs. The company also offers a customer service, including providing a representative on every interview.","Series A",2011-12-19,3,"Baird Venture Partners;Calumet Venture Fund;Gary Comer Investments","Baird Capital Partners;Baird Venture Partners;Beringea;Calumet Venture Fund;Foley Ventures;Gary Comer Investments;Plymouth Growth Partners ;Square 1 Bank;State of Wisconsin Investment Board",24,Internet,"Internet Software & Services","HR & Workforce Management","United States",Wisconsin,Delafield
EcoMom,1,http://www.ecomom.com,"EcoMom, operated by February Won, offers an e-commerce marketplace providing environmental, economic, and cultural sustainability by through Eco-friendly and organic products.  In April 2013, EcoMom was acquired by GreenCupboards. The valuation of EcoMom was undisclosed. Other terms of the deal were not released. According to GreenCupboards, it has acquired all of the assets of EcoMom, including its trademarks, domain names, social media, customer lists and inventory.","Series A",2011-12-19,4,"500 Startups;Base Ventures;Bruce Leak;Chamath Palihapitiya;Crosslink Capital;Cue Ball Capital;Dave McClure;Ed Wilson;Kortschak Investments;Matias De Tezanos;NALA Investments;Paige Craig;Rhodium;Rohan Oza;Summit Series;Thomas McInerney;Tony Hsieh;Troy Carter;Venture51;Zac Zeitlin","500 Startups;Base Ventures;Blue Pacific Ventures;Bruce Leak;Chamath Palihapitiya;Crosslink Capital;Cue Ball Capital;Cyan Banister;Daher Capital;Dan Gould;Dave McClure;David Pell;Dead;Ed Wilson;Embarcadero Ventures;Fabrice Grinda;GreenCupboards;Kima Ventures;Kortschak Investments;Mark Suster;Matias De Tezanos;NALA Investments;Paige Craig;Rhodium;Rising Tide Fund;Rohan Oza;Scott Banister;Sizhao Yang;Summit Series;Thomas McInerney;Tony Hsieh;Troy Carter;Venture51;Wavemaker Partners;Zac Zeitlin",10.2,Internet,eCommerce,Marketplace,"United States",Nevada,"Las Vegas"
"Annex Cloud",49,http://www.annexcloud.com,"Annex Cloud, formerly Annex Cloud, delivers fully integrated Customer Loyalty, Referral Marketing, and User Generated Content solutions. The company's best-of-breed suite of solutions and expert team of Customer Success Managers combine to help you tackle even the most complex acquisition, conversion, retention challenges.","Series A",2011-12-19,,"Wavemaker Partners","Brian Lee;Jody Mulkey;Kamran Pourzanjani;Karlin Ventures;Lawrence Ng;Tech Coast Angels;Wavemaker Partners",0.75,Internet,"Internet Software & Services","Customer Relationship Management","United States",California,"Los Angeles"
Cloudant,,http://www.cloudant.com,"Cloudant provides a globally distributed database-as-a-service (DBaaS) for loading, storing, analyzing, and distributing operational application data for developers of large and/or fast-growing Web and mobile applications. Cloudant's DBaaS is a managed service that helps developers eliminate the delays, costs, and distractions inherent in working with databases and their administrators, while providing unmatched scalability, availability, and performance. This capability accelerates time-to-market and time-to-innovation because it frees developers from the mechanics of data management so they can focus exclusively on creating great applications.","Series A",2011-12-16,2.08,"Avalon Ventures","Avalon Ventures;F-Prime Capital;IBM;In-Q-Tel;Rackspace Hosting;Samsung Ventures;Toba Capital;Y Combinator",14.1,Internet,"Internet Software & Services","Database Management","United States",Massachusetts,Boston
Tealium,99,http://www.tealium.com,"Tealium powers the new era of real-time customer engagement and marketing, enabling global businesses to unlock their customer data and create more meaningful, relevant customer experiences. The company's industry-leading customer data platform, comprised of an enterprise tag management solution, omnichannel customer segmentation and action engine, and suite of rich data services, creates a vendor-neutral data foundation that spans web, mobile, offline and IoT.","Series A",2011-12-16,1.1,"Jeff Lunsford;Joe Apprendi;John Vincent;Thomas Falks","Bain Capital Ventures;Battery Ventures;Citi Ventures;Georgian Partners;Jeff Lunsford;Joe Apprendi;John Vincent;Presidio Ventures;Silver Lake Partners;Tenaya Capital;Thomas Falks",112.9,Internet,"Internet Software & Services","Advertising, Sales & Marketing","United States",California,"San Diego"
Novel,,http://www.novelincorporated.com,"Novel offers an employee recruitment service platform. The company's job previews generate demonstrated behavior in a web-based experience for job seeking candidates.","Series A",2011-12-16,1.6,"McLean Capital;Nairbo Investment","Dead;McLean Capital;Nairbo Investment;Undisclosed Investors",2.26,Internet,"Internet Software & Services","Personal & Professional Development","United States",Washington,Redmond
"American Hometown Media",,http://www.americanhometownmedia.com,"American Hometown Media is establishing an internet platform to feature everyday American home cooks as the celebrity. AHM is the parent company of Just A Pinch Recipe Club (www.justapinch.com), an online site providing a network of helpful tools to make preparing meals easier.","Series A",2011-12-16,3.07,"Petra Capital Partners;Solidus Company","Nashville Capital Network;Petra Capital Partners;Solidus Company",5.39,Internet,"Internet Software & Services","News & Discussion","United States",Tennessee,Nashville
ScalArc,,http://www.scalarc.com,"ScalArc develops open source software for clustering & load balancing, transparent SQL caching, SQL query firewall, and real-tim SQL analytics.","Series A",2011-12-14,5.33,"Nexus Venture Partners","Nexus Venture Partners",5.33,Internet,"Internet Software & Services","Database Management","United States",California,"Menlo Park"
Sportsvite,5,http://www.sportsvite.com,"Sportsvite lets users manage sports teams online, organize schedules, find players and activity partners, and join recreational adult leagues in their area.","Series A",2011-12-14,4.35,"Undisclosed Investors","New York Angels;Scout Ventures;Social Starts;Undisclosed Investors",6.05,Internet,"Internet Software & Services",Sports,"United States","New York","New York"
AeroFS,,http://www.aerofs.com,"Air Computing, dba AeroFS, offers a suite of secure and mobile enterprise file sync and collaboration solutions for the private cloud. The company's offerings empower workers to share and collaborate securely, while remaining compliant and meeting regulatory requirements. Based in Palo Alto, Calif., AeroFS is revolutionizing the file sync and sharing space and giving new meaning to the concept of secure collaboration.","Series A",2011-12-09,,"Webb Investment Network","ACE & Company;Avalon Ventures;Lowercase Capital;NHN Investment (Korea);Redbooth;Webb Investment Network;Y Combinator",15.52,Internet,"Internet Software & Services","Data Storage","United States",California,"Palo Alto"
Amplifinity,14,http://www.amplifinity.com,"Amplifinity, formerly known as uRefer, is one of the pioneers in the development of social marketing platforms. Amplifinity's Advocacy Management Platform (AMP) is being used by leading companies to generate social behavior by mobilizing customers, employees and third parties to refer new prospects, endorse products, and amplify marketing messages. With AMP, brands are able to acquire customers at a fraction of the cost of traditional channels, thereby increasing revenue, retention, and profitability. Amplifinity is a proud member of the Word of Mouth Marketing Association (WOMMA).","Series A",2011-12-09,2.5,"Early Stage Partners","Ceres Venture Fund;Draper Triangle Ventures;Early Stage Partners;Michigan Economic Development Corporation;RSVP Ventures;Undisclosed Investors;West Capital Advisors",10.24,Internet,"Internet Software & Services","Advertising, Sales & Marketing","United States",Michigan,"Ann Arbor"
TrackVia,29,http://www.trackvia.com,"TrackVia is an online database and application platform, providing non-technical business users a next-gen, cloud-based alternative to generic spreadsheets or databases such as Excel or MS Access, and inflexible, one-size-fits-all SaaS applications. TrackVia is a subscription-based service with monthly pricing based primarily on number of users. Support is included with the pricing, and users never pay for upgrades or renewals.","Series A",2011-12-09,1.92,"Access Venture Partners;Allen & Company;Draper Associates;Felicis Ventures;Flywheel Ventures;Morgenthaler Ventures","Access Venture Partners;Allen & Company;Draper Associates;Fairhaven Capital;Felicis Ventures;Flywheel Ventures;Longworth Venture Partners;Morgenthaler Ventures;Tim Draper;Undisclosed Investors",22.21,Internet,"Internet Software & Services","Data & Document Management","United States",Colorado,Denver
CiiNOW,,http://www.ciinow.com,"CiiNOW is a white label cloud platform that enables game publishers, retailers and carriers to tap into the gaming market as it transitions from physical media formats to digital distribution. The company's HybridGFX technology makes use of the capabilities of the client devices (PC, STB and tablets/phones) and transmits compressed graphics commands with overlaid video thereby reducing required bandwidth while increasing image fidelity and minimizing datacenter costs.","Series A",2011-12-09,13,"Alcatel-Lucent;Foundation Capital","Alcatel-Lucent;AMD Ventures;Foundation Capital",13,Internet,"Internet Software & Services","Multimedia & Graphics","United States",California,"Mountain View"
OrderWithMe,9,http://www.orderwithme.com,"OrderWithMe helps small businesses by streamlining their inventory purchasing and giving them big volume discounts by aggregating their volume with other small businesses in the same industry to get the best pricing from our suppliers.","Series A",2011-12-08,3,"Chinaccelerator;Infinity Venture Partners;SOSV","Advantage Capital;Base Ventures;Chinaccelerator;Infinity Venture Partners;Pentland Group;Silicon Valley Bank;SOSV;TechCrunch Disrupt;Tony Hsieh;Undisclosed Angel Investors;VTF Capital;WithMe",37.08,Internet,"Internet Software & Services","Billing, Expense Management and Procurement","United States",Nevada,"Las Vegas"
"Cross Pixel Media",,http://www.crosspixel.net,"Cross Pixel Media displays targeted banner advertising to consumers based on their previous online shopping activity.","Series A",2011-12-08,1.5,"kbs+ Ventures","kbs+ Ventures",1.5,Internet,"Internet Software & Services","Advertising, Sales & Marketing","United States","New York","New York"
"DreamBox Learning",54,http://www.dreambox.com,"DreamBox Learning has developed an Intelligent Adaptive Learning Platform that captures mouse clicks to personalize math learning and adapts it to any student. DreamBox Learning Math offers a combination of intelligent adaptive learning, rigorous elementary mathematics curriculum, and motivating learning environment. The DreamBox platform captures every decision a student makes while working in the program and adjusts the student's learning path appropriately, providing millions of individualized learning paths, each one tailored to a student's unique needs.","Series A - II",2011-12-07,11,"Charter School Growth Fund;Deborah Quazzo;GSV Capital;John Doerr;Reed Hastings","Charter School Growth Fund;Deborah Quazzo;Foundation Capital;GSV Capital;John Doerr;Owl Ventures;Reed Hastings;Rolling Oaks Enterprises;Tao Capital Partners;The Rise Fund",175.6,Internet,"Internet Software & Services","Education & Training","United States",Washington,Bellevue
"Small Demons",,http://www.smalldemons.com,"Small Demons is a content-related web and mobile product startup located in the Los Angeles area founded by Yahoo! and Myspace alums.","Series A - III",2011-12-05,0.5,CampVentures,"CampVentures;Undisclosed Investors",5.16,Internet,"Stealth Mode",,"United States",California,"Marina del Rey"
Spling,,http://www.spling.com,"Spling is a social platform focusing on content discovery and media sharing. The company's goal is to make sharing and discovering relevant links as easy as possible. Spling allow users to share any link with anyone in the single click of a button, while creating a repository to store and sort favorite links. Users can share with friends, groups, or the community at large. Simultaneously, the company allows users to explore and consume Internet content filtered through friends, families, and communities thus ensuring a guaranteed quality of content.","Series A",2011-12-05,0.4,"Deep Fork Capital","Deep Fork Capital;DreamIt Ventures",0.42,Internet,"Internet Software & Services",Social,"United States",Pennsylvania,Lewisburg
"Rumble Entertainment",,http://www.rumblegames.com,"Rumble Entertainment is dedicated to building polished games and shared experiences that embrace the digital world. The team is comprised of talented creators that believe in a customer-led approach to delivering great games. Rumble's slate of games are free-to-play and available across a variety of browsers, mobile devices, and social networks.","Series A",2011-12-02,15,"Google Ventures;Khosla Ventures;Rick Thompson","Google Ventures;iDreamSky Technology;Khosla Ventures;NEXON;Plarium;Rick Thompson;TriplePoint Capital",42.5,Internet,"Internet Software & Services",Gaming,"United States",California,"Redwood City"
"Prolexic Technologies",3,http://www.prolexic.com,"Prolexic is a Distributed Denial of Service (DDoS) mitigation provider. Able to absorb large and complex attacks launched, Prolexic restores mission-critical Internet-facing infrastructures for global enterprises and government agencies within minutes. Banks and companies in e-Commerce, SaaS, payment processing, travel/hospitality, gaming and other at-risk industries rely on Prolexic to protect their businesses.","Series A - II",2011-12-02,2,"Kennet Partners","Akamai Technologies;Camden Partners;Intel Capital;Kennet Partners;Medina Capital;Trident Capital",53.9,Internet,"Internet Software & Services","Monitoring & Security","United States",Florida,Hollywood
Academia.edu,,http://www.academia.edu,"Academia.edu is a platform for academics to share research papers. The company's mission is to accelerate the world's research. Academics use Academia.edu to share their research, monitor deep analytics around the impact of their research, and track the research of academics they follow.","Series A - II",2011-12-02,4.5,"Spark Capital;True Ventures","Albion Capital;Howzat;Khosla Ventures;LocalGlobe;Mark Shuttleworth;Rupert Pennant-Rea;Spark Capital;Spark Ventures;Thomas Lehrman;True Ventures",18.4,Internet,"Internet Software & Services","Education & Training","United States",California,"San Francisco"
Tracx,56,http://www.tracx.com,"Tracx is an all-in-one social media management platform that helps social-savvy companies hear and react to the full conversation online. Tracx collects data from more sources than any other social listening platform, which is why companies like Sears, EA Games, Nestle, and BAE trust Tracx to help them navigate the social jungle.","Series A",2011-12-01,,"Gideon Greenspan;Zohar Gilon","Camden Partners;Edison Partners;Flybridge Capital Partners;Gideon Greenspan;Klingenstein, Fields & Co.;Mousse Partners;Revel Partners;Rick Rudman;Rutledge Vine Capital;Zohar Gilon",38.4,Internet,"Internet Software & Services","Business Intelligence, Analytics & Performance Mgmt","United States",Maryland,Bethesda
Awe.sm,,http://www.totally.awe.sm,"Awe.sm by Snowball Labs allows developers to add social-media performance tracking to websites and online applications.","Series A",2011-12-01,4,"Foundry Group;kbs+ Ventures;Neu Venture Capital;Upfront Ventures","Apricot Capital;Foundry Group;kbs+ Ventures;Neu Venture Capital;Unified;Upfront Ventures",5.06,Internet,"Internet Software & Services","Browser Software/Plugins","United States",California,"San Francisco"
"Remedy Informatics",3,http://www.remedyinformatics.com,"Remedy Informatics, formerly RemedyMD, is a provider of clinical registries, medical research software, and research informatics products that accelerate translational medicine discoveries from bench to bedside. Remedy offers a wide range of configurable off the shelf biomedical informatics products that are built on the Mosaic Platform. Remedy&#039;s mission is to tangibly, measurably and permanently improve the effectiveness of Life Science Research in the United States and across the globe.","Series A",2011-12-01,2.01,"Double Eagle Ventures","Double Eagle Ventures;Merck Global Health Innovation Fund",8.01,Internet,"Internet Software & Services",Healthcare,"United States",Utah,Sandy
NewsCred,2,http://www.newscred.com,"NewsCred is the leading content marketing platform. Pairing cutting-edge software with world-class content, NewsCred transforms brands into storytellers. NewsCred's Content Marketing Cloud provides the easiest end-to-end solution for content planning, creation, publishing and analytics. In one place, brands gain unprecedented access to the world's largest content marketplace, including licensed content from over 4,000 publishers and original content from NewsCred's award-winning journalist network. Through NewsCred, global brands like Pepsi, P&G, Dell, General Electric and AIG have seen explosive growth in social sharing, engagement and lead generation.","Series A",2011-11-30,4,"Advancit Capital;AOL Ventures;FirstMark Capital;Lerer Hippeau Ventures","Advancit Capital;AOL Ventures;FirstMark Capital;Floodgate;FTV Capital;Greycroft Partners;IA Ventures;InterWest Partners;Lerer Hippeau Ventures;Mayfield Fund;Naval Ravikant",88.5,Internet,"Internet Software & Services","Content Management","United States","New York","New York"
Freshworks,207,http://www.freshworks.com,"Freshworks, formerly Freshdesk, provides a cloud-based customer support platform. The company offers an online help desk and support ticketing application that supports customers through email, phone, Facebook, and Twitter. Customer service agents can support, update, and assign projects directly from an email client, without needing to log in or use a mobile app. Agents email or forward a request to a Freshworks email address and the request will be added to Freshworks's interface.","Series A",2011-11-30,1,Accel,"Accel;capitalG;Sequoia Capital India;Tiger Global Management",249,Internet,"Internet Software & Services","Customer Relationship Management","United States",California,"San Bruno"
ChoiceStream,2,http://www.choicestream.com,"ChoiceStream improves ad relevance and digital campaign performance by programmatically selecting optimum advertising opportunities based on a dynamic understanding of consumer's active preferences. With an extensive first and third party data network enhanced by proprietary data, ChoiceStream can target and convert the most valuable consumers in real-time. ChoiceStream is headquartered in the Innovation District of Boston and works with industry brands and their agencies.","Series A - II",2011-11-29,8.7,"Sutter Hill Ventures","AT&T;Fred Alger Management;General Catalyst;North Atlantic Capital;Sage Hill Partners;Sutter Hill Ventures",84.1,Internet,"Internet Software & Services","Advertising, Sales & Marketing","United States",Massachusetts,Boston
ClickDimensions,85,http://www.clickdimensions.com,"ClickDimensions develops the ClickDimensions and Automational branded online marketing automation solutions that include email marketing, web intelligence, lead scoring, campaign management, web forms/surveys, social discovery, relationship management and more.","Series A",2011-11-28,,"Canal Partners","Accel-KKR;Canal Partners",32.86,Internet,"Internet Software & Services","Business Intelligence, Analytics & Performance Mgmt","United States",Georgia,Atlanta
Highlightcam,,http://www.highlightcam.com,"HighlightCam develops artificial intelligence algorithms and face detection with consumer-friendly video editing applications. HighlightCam's app automatically creates a pro-quality minimovie generated from unedited videos taken on an iPhone or iPod Touch.","Series A",2011-11-23,3,"DG Incubation;Docomo Capital;Quest Venture Partners","ACE & Company;Dead;DG Incubation;Docomo Capital;K9 Ventures;Quest Venture Partners;Y Combinator",3.02,Internet,"Internet Software & Services",Video,"United States",California,"Mountain View"
CustomMade,3,http://www.custommade.com,"CustomMade is an online marketplace connecting buyers who want one-of-a-kind creations with professional and passionate makers of those goods. Born in 1996 with the vision to help people find the unique gifts, objects and goods they cannot find through traditional retail channels, CustomMade has grown from a community of 350 carpenters to more than 12,000 Makers (and counting) of all trades.","Series A",2011-11-23,2.1,"Andrew McCollum;BoxGroup;First Round Capital;Founder Collective;Google Ventures;LaunchCapital;NextView Ventures","Andrew McCollum;Atlas Venture;BoxGroup;First Round Capital;Founder Collective;Google Ventures;LaunchCapital;NextView Ventures;Schooner Capital;Undisclosed Angel Investors;Undisclosed Investors",25.45,Internet,eCommerce,Marketplace,"United States",Massachusetts,Cambridge
Spotzot,1,http://www.spotzot.com,"Spotzot develops an intelligent deal targeting platform enabling brands and retailers to reach customers with campaign offers targeted by location and intent. The company generates campaign click-throughs from algorithms that intelligently select, tag and organize high value online and in-store offers. Spotzot searches promotion and coupon sources everyday for in-store and online deals from national and regional U.S. chain operators. Offers are accessed by publishers through a series of free APIs.","Series A",2011-11-22,2.2,"Cervin Ventures;Inventus Capital Partners;TiE-Silicon Valley Angels","Cervin Ventures;Foundation Capital;Inventus Capital Partners;TiE-Silicon Valley Angels",2.2,Internet,eCommerce,Discount,"United States",California,"Santa Clara"
Exablox,25,http://www.exablox.com,"Exablox is the company reimagining storage. Exablox solves businesses' runaway storage costs and information management nightmares by providing a cloud-managed, scale-out object-based solution that is affordable and easy to use. OneBlox is an inclusive storage offering that combines a hardware architecture and integrated, enterprise-grade software, including inline deduplication, continuous data protection and disaster recovery.","Series A",2011-11-22,7.47,"DCM Ventures;Norwest Venture Partners","DCM Ventures;Dell Technologies Capital;Norwest Venture Partners;StorageCraft Technology;Toshiba America Electronic Components;US Venture Partners",45,Internet,"Internet Software & Services","Data Storage","United States",California,Sunnyvale
Braintree,16,http://www.braintreepayments.com,"Braintree is a payment platform for online and mobile businesses, offering all the tools merchants need to accept payments and provide consumers a frictionless experience at checkout. Braintree provides merchants with a secure payment gateway, merchant account, recurring billing and credit card storage, as well as industry-leading customer service and an easy-to-integrate API. Braintree operates internationally, and allows merchants in North America and Europe to accept payments in over 130 currencies. Braintree's subsidiary, Venmo, offers a digital wallet and person-to-person payment application that extends Braintree's payment platform to consumers, making it easy for consumers to make payments on mobile devices.","Series A - II",2011-11-21,1,Accel,"Accel;Greycroft Partners;New Enterprise Associates;PayPal;RRE Ventures;University of Chicago's New Venture Challenge",70.02,Internet,"Internet Software & Services",Payments,"United States",Illinois,Chicago
eVariant,74,http://www.evariant.com,"eVariant helps hospitals and health care systems accelerate provider referral and patient volume growth across service lines through the use of a combination of CRM, marketing automation, data integration services and analytics, collectively referred by the company as Volume Performance Management. Unique in its ability to Connect What Has Never Been Connected Before, eVariant is a pioneer in uniting vital healthcare business data in real-time across multiple, disparate systems, such as clinical, billing, call center, interactive and social. HealthConnect users rely on the power of the product suite to automate, execute, measure programs and provide powerful insights, leading to more profitable business decisions and relevant ROI.","Series A",2011-11-21,5.3,"Health Enterprise Partners","Dignity Health;Goldman Sachs;Health Enterprise Partners;Lightspeed Venture Partners;McKesson Ventures;Salesforce Ventures",91.26,Internet,"Internet Software & Services",Healthcare,"United States",Connecticut,Farmington
"PowerHouse Dynamics",11,http://www.powerhousedynamics.com,"Powerhouse Dynamics is a technology firm focused on using cloud-enabled controls and analytics to deliver energy and operational efficiencies to its customers. Thousands of locations, including restaurants, convenience stores, retailers and others, use its SiteSage platform to reduce operating costs by centralizing control, analysis and management of energy-consuming equipment. Engineered specifically for smaller facilities, SiteSage features powerful analytics delivered via a simple online and mobile interface. The system continuously improves efficiency by controlling major loads, monitoring power consumption and performance of individual pieces of equipment and tracking gas and water usage. Advanced analytics deliver actionable intelligence via diagnostics and alerts, and SiteSage's enterprise-wide benchmarking helps identify stars and underperforming assets.","Series A",2011-11-18,3,"Converge Venture Partners;JumpStart NJ Angel Network;SOSV","Clean Energy Venture Group;Constellation Technology Ventures;Converge Venture Partners;Cycle Capital;Emerald Technology Ventures;Horizon Technology Finance Management;JumpStart NJ Angel Network;Launchpad Venture Group;PJC;Social Venture Fund;SOSV;Undisclosed Investors;Vision Ridge Partners",24.33,Internet,"Internet Software & Services",Green/Environmental,"United States",Massachusetts,Newton
Lucid,52,http://www.luc.id,"Lucid (fka Federated Sample) is a market research technology firm that focuses on bringing efficiency and automation to sampling through the Fulcrum Platform. Fulcrum is a project management suite to give clients the power to integrate multiple suppliers, increase productivity and reduce costs. Ranging from vertically integrated research firms to sample suppliers, clients who license Fulcrum enjoy increased efficiency and with minimal technology development costs. This simplified survey management platform boasts white-labeled routing and improved respondent experience all while giving clients exceptional control and sample quality. The company's products include Fulcrum, the first global marketplace for market research sample (that means real people who answer questions), and introduced programmatic buying and selling to the market research industry.","Series A",2011-11-18,2.8,"Sopris Capital Associates;Voodoo Ventures","North Bridge Growth Equity;Sopris Capital Associates;Undisclosed Investors;Voodoo Ventures",64.22,Internet,"Internet Software & Services","Advertising, Sales & Marketing","United States",Louisiana,"New Orleans"
